,Title,views,Thumbnail
30,Simulating an epidemic,5M views,https://i.ytimg.com/vi/gxAaO2rsdIs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBnCe07tAV04geYs8lFcWFyRE43Eg
31,"Binomial distributions | Probabilities of probabilities, part 1",1.7M views,https://i.ytimg.com/vi/8idr1WZ1A7Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBI9SCyzlB64d29sNWVDvFgbThjOA
32,Exponential growth and epidemics,5.8M views,https://i.ytimg.com/vi/Kas0tIxDvrg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDgxyYIDLyYJ0f-iUIepGKxPqGFEQ
33,The quick proof of Bayes' theorem,422K views,https://i.ytimg.com/vi/U_85TaXbeIo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRNd_IaV6QkB6yULAUCK3qRE161Q
34,"Bayes theorem, the geometry of changing beliefs",2.5M views,https://i.ytimg.com/vi/HZGCoVF3YvM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTE71TMvEr9EGW2NjkGKuzm4YQ9w
35,"Q&A with Grant (3blue1brown), windy walk edition",397K views,https://i.ytimg.com/vi/Agbh95KyWxY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAM_gBbzdeleVZs8R7q6bAFy9dROg
36,"Why do prime numbers make these spirals? | Dirichlet’s theorem, pi approximations, and more",3.9M views,https://i.ytimg.com/vi/EK32jo7i5LQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB2fBXMWDDYWGuoYaWwxD8S_Meifg
37,"The unexpectedly hard windmill question (2011 IMO, Q2)",4.2M views,https://i.ytimg.com/vi/M64HUIJFTZM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAoZ_dzi9iDaas6-wDopMeRvU9maA
38,"e^(iπ) in 3.14 minutes, using dynamics | DE5",1.9M views,https://i.ytimg.com/vi/v0YEaeIClKY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDWulsmWtouhfXOAnFGsCNj9Cfc2w
39,Pure Fourier series animation montage,601K views,https://i.ytimg.com/vi/-qgreAUpPwM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrdl0O3kmIp5PoyOSOKZlYMyaZ0Q
40,But what is a Fourier series? From heat flow to drawing with circles | DE4,14M views,
41,Solving the heat equation | DE3,987K views,
42,But what is a partial differential equation? | DE2,1.9M views,
43,"Differential equations, a tourist's guide | DE1",2.8M views,
44,"Cramer's rule, explained geometrically | Chapter 12, Essence of linear algebra",842K views,
45,How colliding blocks act like a beam of light...to compute pi.,922K views,
46,Why do colliding blocks compute pi?,4.2M views,
47,The most unexpected answer to a counting puzzle,9.3M views,
48,But why is a sphere's surface area four times its shadow?,6M views,
49,Using topology to solve a counting riddle | The Borsuk-Ulam theorem and stolen necklaces,662K views,
